idx,deg_1,deg_2,deg_3,x,y,mid_temp_code,mid_weather_code
1,서울특별시,,,60,127,11B10101,11B00000
2,서울특별시,종로구,,60,127,11B10101,11B00000
3,서울특별시,종로구,청운효자동,60,127,11B10101,11B00000
4,서울특별시,종로구,사직동,60,127,11B10101,11B00000
5,서울특별시,종로구,삼청동,60,127,11B10101,11B00000
6,서울특별시,종로구,부암동,60,127,11B10101,11B00000
7,서울특별시,종로구,평창동,60,127,11B10101,11B00000
8,서울특별시,종로구,무악동,60,127,11B10101,11B00000
9,서울특별시,종로구,교남동,60,127,11B10101,11B00000
10,서울특별시,종로구,가회동,60,127,11B10101,11B00000
11,서울특별시,종로구,종로1.2.3.4가동,60,127,11B10101,11B00000
12,서울특별시,종로구,종로5.6가동,60,127,11B10101,11B00000
13,서울특별시,종로구,이화동,60,127,11B10101,11B00000
14,서울특별시,종로구,혜화동,60,127,11B10101,11B00000
15,서울특별시,종로구,창신제1동,61,127,11B10101,11B00000
16,서울특별시,종로구,창신제2동,60,127,11B10101,11B00000
17,서울특별시,종로구,창신제3동,60,127,11B10101,11B00000
18,서울특별시,종로구,숭인제1동,60,127,11B10101,11B00000
19,서울특별시,종로구,숭인제2동,61,127,11B10101,11B00000
20,서울특별시,중구,,60,127,11B10101,11B00000
21,서울특별시,중구,소공동,60,127,11B10101,11B00000
22,서울특별시,중구,회현동,60,126,11B10101,11B00000
23,서울특별시,중구,명동,60,127,11B10101,11B00000
24,서울특별시,중구,필동,60,127,11B10101,11B00000
25,서울특별시,중구,장충동,60,127,11B10101,11B00000
26,서울특별시,중구,광희동,60,127,11B10101,11B00000
27,서울특별시,중구,을지로동,60,127,11B10101,11B00000
28,서울특별시,중구,신당동,60,127,11B10101,11B00000
29,서울특별시,중구,다산동,60,126,11B10101,11B00000
30,서울특별시,중구,약수동,60,126,11B10101,11B00000
31,서울특별시,중구,청구동,60,126,11B10101,11B00000
32,서울특별시,중구,신당제5동,61,127,11B10101,11B00000
33,서울특별시,중구,동화동,61,127,11B10101,11B00000
